NUMBER,TEAM,CONF,YEAR,POSTSEASON,SEED,G,W,WIN_PCT,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,TWOP_O,TWOP_D,THREEP_O,THREEP_D,ADJ_T,WAB,WIN_PCT_RANK,ADJOE_RANK,ADJDE_RANK,BARTHAG_RANK,EFG_O_RANK,EFG_D_RANK,TOR_RANK,TORD_RANK,ORB_RANK,DRB_RANK,FTR_RANK,FTRD_RANK,TWOP_O_RANK,TWOP_D_RANK,THREEP_O_RANK,THREEP_D_RANK,ADJ_T_RANK,WAB_RANK,DUPLICATE
33,Minnesota,B10,2017,R64,5,34,24,0.705882353,109.3,92.9,0.8665,48.7,45.1,16.1,17.6,29.7,30.2,39.6,29.2,47.5,44.5,34.3,30.9,70.9,3.7,0.333,0.269,0.81,0.46,0.063,0.953,0.762,0.269,0.333,0.777,0.746,0.699,0.031,0.889,0.142,0.874,0.714,0.555,64
34,Kansas St.,B12,2017,R64,11,35,21,0.6,112.2,94.2,0.8818,52.7,49.6,19.1,22.1,29.5,32.3,41.1,33.4,51.8,45.5,36.2,38.2,67.2,1.7,0.079,0.444,0.667,0.523,0.444,0.254,0.143,0.968,0.317,0.936,0.904,0.461,0.555,0.715,0.412,0,0.253,0.412,64
35,Oklahoma St.,B12,2017,R64,10,32,20,0.625,126.8,102.3,0.9221,54,53.2,18.2,20.3,38.3,31.9,37.4,45.4,50.4,52.4,40.3,36.4,72.9,3.3,0.111,1,0.191,0.682,0.65,0.032,0.302,0.857,0.968,0.888,0.587,0,0.253,0.048,0.904,0.127,0.968,0.523,64
36,Creighton,BE,2017,R64,6,34,25,0.735294118,114.5,95.2,0.8931,57.6,49.9,17.1,19.3,24.2,29.6,27.9,29.3,56.4,50.2,39.8,33,72.7,4.3,0.46,0.523,0.62,0.571,0.968,0.223,0.493,0.555,0.047,0.634,0.079,0.683,0.952,0.127,0.857,0.604,0.92,0.65,64
37,Marquette,BE,2017,R64,10,32,19,0.59375,121.8,101.8,0.8881,57.5,52.2,17.3,18.3,27.1,29.2,31,35.7,52.7,50.6,42.9,36.8,71.5,0.6,0.063,0.92,0.223,0.539,0.936,0.048,0.429,0.365,0.19,0.555,0.174,0.254,0.634,0.096,1,0.096,0.793,0.301,64
38,Seton Hall,BE,2017,R64,9,33,21,0.636363636,108.9,95.6,0.8178,49.9,49,19.5,17.5,35.7,25.4,37.6,36.1,49.6,48,33.8,34.1,68.9,2.7,0.19,0.253,0.556,0.333,0.095,0.35,0.112,0.238,0.873,0.111,0.603,0.223,0.142,0.381,0.111,0.413,0.428,0.492,64
39,North Dakota,BSky,2017,R64,15,29,22,0.75862069,103.1,102.7,0.5112,53.4,50.7,18.3,19.6,26,27.8,36.1,39.7,51.4,50,38.7,34.8,72.5,-5.3,0.619,0.047,0.143,0.079,0.523,0.127,0.27,0.682,0.126,0.365,0.492,0.08,0.492,0.159,0.793,0.27,0.904,0.111,64
40,Winthrop,BSth,2017,R64,13,31,26,0.838709677,105.3,101.3,0.6106,53.5,46.7,17.8,18.6,26.3,28.4,38.2,34.5,50.9,45.9,37.9,32.1,72.3,-1.8,0.746,0.095,0.239,0.158,0.555,0.778,0.381,0.428,0.142,0.444,0.634,0.334,0.333,0.651,0.619,0.731,0.888,0.174,64
41,UC Davis,BW,2017,R64,16,34,23,0.676470588,97.4,100.8,0.4033,48.4,48.7,20.3,19.6,29.1,28.3,40.8,33.1,46.9,48.5,34.5,32.6,70.3,-7.5,0.269,0,0.254,0.015,0.047,0.429,0.064,0.682,0.269,0.428,0.857,0.493,0.015,0.318,0.158,0.635,0.682,0.063,64
42,UNC Wilmington,CAA,2017,R64,12,33,29,0.878787879,117.7,105,0.7881,55,53.2,13.9,20.1,32.5,28.5,30.8,39.6,55.7,54.2,36.1,34,71.5,1.5,0.92,0.73,0.064,0.253,0.761,0.032,1,0.793,0.65,0.46,0.158,0.096,0.904,0,0.396,0.429,0.793,0.365,64
43,Northern Kentucky,Horz,2017,R64,15,33,24,0.727272727,105.5,104.1,0.537,52.4,49.7,18.8,17,31.2,26.4,36.5,30.5,51.6,50.2,35.7,32.4,69.3,-4.9,0.428,0.111,0.096,0.111,0.349,0.239,0.191,0.142,0.523,0.206,0.523,0.635,0.539,0.127,0.317,0.667,0.46,0.126,64
44,Princeton,Ivy,2017,R64,12,29,23,0.793103448,107.6,95.4,0.7989,53.2,48.7,15.2,20.2,24.1,24.7,24.4,32,50.5,46.9,37.6,34.5,64.2,-0.4,0.666,0.142,0.572,0.301,0.492,0.429,0.905,0.825,0.031,0.079,0,0.572,0.269,0.493,0.587,0.318,0.047,0.222,64
45,Iona,MAAC,2017,R64,14,35,22,0.628571429,109.3,106,0.5879,53.4,50,16.5,18,27,32.1,31,33.4,49.3,47.7,39.7,36.1,71.7,-5.8,0.126,0.269,0.048,0.142,0.523,0.191,0.651,0.333,0.174,0.92,0.174,0.461,0.111,0.397,0.841,0.159,0.857,0.095,64
46,Kent St.,MAC,2017,R64,14,35,22,0.628571429,104.1,102.9,0.5322,48.2,50.1,17.9,19,38.1,29.8,32.5,34.3,48.5,48.5,31.7,35.3,69.5,-7.2,0.126,0.063,0.127,0.095,0.031,0.175,0.334,0.492,0.952,0.698,0.222,0.366,0.063,0.318,0.015,0.223,0.507,0.079,64
47,Nevada,MWC,2017,R64,12,35,28,0.8,113.7,100.7,0.8021,52.5,48.3,15.5,15.9,30.4,26.3,41.3,28.2,49.2,49.3,38.2,31,71,1.7,0.698,0.507,0.27,0.317,0.396,0.461,0.874,0.031,0.428,0.19,0.936,0.762,0.095,0.223,0.682,0.858,0.73,0.412,64
48,Mount St. Mary's,NEC,2017,R64,16,36,20,0.555555556,98.9,101.8,0.4155,51,49.9,19.2,21.7,23.1,34.8,32.4,32.6,49.4,49.5,35.8,34.1,68.3,-7.9,0.031,0.015,0.223,0.031,0.126,0.223,0.127,0.936,0,0.984,0.206,0.54,0.126,0.191,0.333,0.413,0.333,0.047,64
49,Jacksonville St.,OVC,2017,R64,15,33,20,0.606060606,104.4,104.2,0.5054,52.6,49.4,20.7,16.6,31.2,28.5,33.4,34.4,50.8,45.1,37.2,37.8,65,-8,0.095,0.079,0.08,0.063,0.428,0.27,0.016,0.111,0.523,0.46,0.285,0.35,0.317,0.842,0.555,0.032,0.111,0.031,64
50,Bucknell,Pat,2017,R64,13,35,26,0.742857143,108.3,99.1,0.7352,55.3,48,18.9,19.7,26.8,27.9,37.2,33.1,54.3,46.5,37.9,34.2,71.4,-2.1,0.507,0.206,0.334,0.206,0.793,0.54,0.175,0.761,0.158,0.396,0.571,0.493,0.777,0.588,0.619,0.366,0.761,0.158,64
51,Troy,SB,2017,R64,15,35,22,0.628571429,108.8,106.6,0.5596,51.6,50.1,17.8,17.6,30.8,29.8,40.1,32.8,50.9,49.5,35.1,34.1,69.4,-8.1,0.126,0.238,0.016,0.126,0.222,0.175,0.381,0.269,0.46,0.698,0.777,0.508,0.333,0.191,0.222,0.413,0.476,0.015,64
52,East Tennessee St.,SC,2017,R64,13,33,27,0.818181818,107.3,97.1,0.7595,55.8,48.7,20.8,22,30.1,27.4,42.8,38.2,55,45.7,38.2,35.4,71.5,-0.7,0.714,0.126,0.413,0.222,0.857,0.429,0,0.952,0.38,0.301,0.952,0.159,0.857,0.683,0.682,0.191,0.793,0.206,64
53,Vanderbilt,SEC,2017,R64,9,35,19,0.542857143,112.5,93.8,0.8898,52.1,48.1,18.2,16.1,24.8,27,34.8,30.7,48.1,46.8,37.6,33.8,67,0.1,0,0.46,0.762,0.555,0.301,0.524,0.302,0.063,0.079,0.238,0.428,0.62,0.047,0.508,0.587,0.493,0.222,0.253,64
54,South Dakota St.,Sum,2017,R64,16,33,18,0.545454545,108.2,109.7,0.4612,53.2,53.8,18.4,16.2,27.1,28.9,39.9,27.1,52.7,52.4,35.8,36.9,68.5,-9.8,0.015,0.19,0,0.047,0.492,0,0.239,0.079,0.19,0.539,0.761,0.826,0.634,0.048,0.333,0.064,0.396,0,64
55,Texas Southern,SWAC,2017,R64,16,35,23,0.657142857,100.6,106.5,0.3437,48.1,49.1,16.6,19.2,31.7,34.9,44.3,32.3,50,49.3,29.6,32.5,70,-4.4,0.222,0.031,0.032,0,0.015,0.318,0.635,0.523,0.571,1,1,0.556,0.206,0.223,0,0.651,0.587,0.142,64
56,New Mexico St.,WAC,2017,R64,14,31,28,0.903225806,109.4,102.5,0.6783,52.7,47.9,19.5,19.1,35.6,28.5,43.3,35.2,54.2,49.1,33.5,30.3,69.1,-0.2,0.984,0.301,0.175,0.19,0.444,0.588,0.112,0.507,0.857,0.46,0.968,0.286,0.761,0.254,0.079,0.937,0.444,0.238,64
57,Michigan,B10,2017,S16,7,38,26,0.684210526,123.3,97.6,0.9366,57,51.9,14.2,19.5,24.7,30,30.1,27.2,56.3,50,38.5,37.8,64,3.8,0.301,0.984,0.397,0.809,0.92,0.064,0.953,0.619,0.063,0.761,0.126,0.81,0.92,0.159,0.761,0.032,0.031,0.587,64
58,Purdue,B10,2017,S16,4,35,27,0.771428571,116.6,93.1,0.9297,55.7,47.7,18.3,16.6,30.8,24.4,33.3,22.9,52.7,46.6,40.3,33.2,70.4,5.6,0.634,0.65,0.794,0.761,0.841,0.651,0.27,0.111,0.46,0.047,0.269,0.985,0.634,0.556,0.904,0.572,0.698,0.714,64
59,Wisconsin,B10,2017,S16,8,37,27,0.72972973,114.5,92,0.9255,52.1,47.5,17,19.5,35.9,25.9,32.9,28,51.1,43.1,35.9,37.6,64.4,5.1,0.444,0.523,0.874,0.714,0.301,0.731,0.54,0.619,0.888,0.142,0.253,0.778,0.46,0.953,0.365,0.048,0.063,0.682,64
60,Baylor,B12,2017,S16,3,34,27,0.794117647,116.4,93.9,0.9226,52.5,46.1,20.6,17.1,39.8,29.4,33.9,30.1,52.2,45,35.3,32.2,65.1,7.9,0.682,0.634,0.715,0.698,0.396,0.842,0.032,0.158,0.984,0.571,0.333,0.651,0.619,0.858,0.238,0.699,0.126,0.904,64
61,West Virginia,B12,2017,S16,4,37,28,0.756756757,115.4,89.3,0.9498,51.3,48.8,17,27.6,37.9,31.9,38.9,42.5,49.8,46.5,36.2,35.3,72.2,6.4,0.587,0.587,0.937,0.92,0.174,0.366,0.54,1,0.936,0.888,0.682,0.048,0.174,0.588,0.412,0.223,0.873,0.793,64
62,Butler,BE,2017,S16,4,34,25,0.735294118,117.7,96.9,0.9038,54.6,50.8,15,19.6,27.2,27,37.1,37,54.5,51.3,36.6,33.3,67.2,5.5,0.46,0.73,0.445,0.603,0.714,0.112,0.937,0.682,0.222,0.238,0.555,0.191,0.809,0.064,0.492,0.54,0.253,0.698,64
63,Arizona,P12,2017,S16,2,37,32,0.864864865,117.6,95.6,0.9157,53.7,47.7,16.6,17.4,33.2,26,40.5,28.6,51.5,48.4,39,31,67.1,7.9,0.888,0.698,0.556,0.634,0.603,0.651,0.635,0.206,0.698,0.158,0.841,0.747,0.507,0.334,0.809,0.858,0.238,0.904,64
64,UCLA,P12,2017,S16,3,36,31,0.861111111,122.8,99.6,0.9175,59.8,48.7,15.1,15.8,29.1,28.6,26.8,25.4,59.1,45.3,40.6,36.5,74.6,6.6,0.857,0.968,0.318,0.65,1,0.429,0.921,0.015,0.269,0.523,0.031,0.937,0.984,0.81,0.968,0.112,1,0.857,64
1,Michigan,B10,2018,2ND,3,40,33,0.825,114.4,90.4,0.9375,53.9,47.7,14,19.5,25.5,24.9,30.7,30,54.7,46.8,35.2,33.2,65.9,6.9,0.809,0.571,0.969,0.904,0.603,0.683,0.985,0.666,0.126,0.174,0.222,0.604,0.761,0.62,0.269,0.604,0.063,0.888,64
2,Villanova,BE,2018,Champions,1,40,36,0.9,128.4,94.1,0.9725,59.5,48.5,15,18.2,29.6,27.1,29.4,26.7,59,49,40.1,31.7,69.6,10.6,0.936,1,0.81,1,1,0.556,0.905,0.428,0.507,0.38,0.142,0.826,1,0.286,0.952,0.889,0.476,0.984,64
3,Duke,ACC,2018,E8,2,37,29,0.783783784,122.3,92.9,0.9592,55.9,46.4,17.5,17.3,38.8,30,34.6,22.3,56,45.4,37.2,32,70.9,6.6,0.714,0.968,0.905,0.968,0.809,0.905,0.334,0.238,1,0.761,0.507,1,0.888,0.826,0.603,0.81,0.73,0.873,64
4,Florida St.,ACC,2018,E8,9,35,23,0.657142857,113.2,96.4,0.8631,53.2,48.4,17.8,19.4,32.3,29.8,37,32.4,53.6,45.4,35,35.5,72.5,0.9,0.269,0.492,0.556,0.587,0.523,0.588,0.27,0.619,0.666,0.746,0.73,0.366,0.666,0.826,0.222,0.191,0.857,0.365,64
5,Kansas St.,B12,2018,E8,9,37,25,0.675675676,109.6,93.7,0.8584,52.6,49.1,17.2,21.6,25.9,31.9,33.8,36.8,53.4,48.9,34.1,33,66.5,2.5,0.317,0.317,0.874,0.555,0.396,0.445,0.493,0.92,0.174,0.936,0.46,0.223,0.634,0.318,0.158,0.651,0.142,0.619,64
6,Texas Tech,B12,2018,E8,3,37,27,0.72972973,112.7,91.5,0.917,52,46.4,17.8,21.7,32.9,28.7,39.3,38,51.1,45.1,35.9,32.3,67.6,4.7,0.492,0.476,0.953,0.793,0.349,0.905,0.27,0.952,0.682,0.619,0.825,0.191,0.301,0.874,0.396,0.747,0.222,0.809,64
7,Kansas,B12,2018,F4,1,39,31,0.794871795,122.1,96.4,0.9385,57.5,49.1,16.6,18.2,29.4,31.2,27,24.6,55.6,48.6,40.1,33.3,69.9,8.2,0.746,0.952,0.556,0.92,0.936,0.445,0.683,0.428,0.46,0.904,0.079,0.969,0.857,0.381,0.952,0.524,0.507,0.952,64
8,Loyola Chicago,MVC,2018,F4,11,37,32,0.864864865,110.5,95.4,0.8444,57.7,47.4,19.1,19.4,22.1,25.9,32.2,25.2,56.6,47.1,39.8,32,66.4,2,0.888,0.38,0.651,0.444,0.952,0.715,0.143,0.619,0,0.301,0.333,0.937,0.92,0.572,0.936,0.81,0.126,0.555,64
9,Rhode Island,A10,2018,R32,7,34,26,0.764705882,109.7,97.3,0.7988,51.1,50.4,15.3,22.6,31,28.2,30.1,40.6,50.4,50.6,35.2,33.2,69.6,1.6,0.603,0.349,0.445,0.301,0.158,0.175,0.858,0.968,0.571,0.523,0.174,0.08,0.222,0.096,0.269,0.604,0.476,0.492,64
10,North Carolina,ACC,2018,R32,2,37,26,0.702702703,120.7,97.1,0.9242,52,50.1,16.7,16.3,37.4,25.5,28,26,51,45.3,35.9,38,72.6,7.1,0.38,0.888,0.493,0.857,0.349,0.254,0.651,0.126,0.968,0.253,0.095,0.874,0.285,0.842,0.396,0.016,0.873,0.904,64
11,UMBC,AE,2018,R32,16,33,25,0.757575758,102.1,102.2,0.4963,52.2,51.6,17.2,20.7,25.9,28.3,30.2,30.8,48.1,51,38.2,35,69.3,-4.9,0.555,0.047,0.159,0.047,0.38,0.08,0.493,0.825,0.174,0.571,0.19,0.508,0.079,0.064,0.73,0.334,0.412,0.079,64
12,Cincinnati,Amer,2018,R32,2,36,31,0.861111111,111.6,87.7,0.9417,51.2,43.3,17,21.6,38.5,28.2,36,26.8,50.2,41.4,35.3,30.9,66.2,5.9,0.873,0.444,0.985,0.936,0.174,0.985,0.588,0.92,0.984,0.523,0.65,0.81,0.19,0.985,0.301,0.969,0.095,0.841,64
13,Houston,Amer,2018,R32,6,35,27,0.771428571,114.8,93.9,0.9097,53.3,45.5,17.5,19.1,33.8,25.8,32.6,41.6,50.5,43.8,38.7,32.3,69.4,2.4,0.666,0.634,0.842,0.746,0.539,0.953,0.334,0.603,0.809,0.285,0.349,0.032,0.238,0.953,0.793,0.747,0.444,0.603,64
14,Michigan St.,B10,2018,R32,3,35,30,0.857142857,118.9,94.3,0.9347,56.9,42.7,19.2,14.6,37,26.6,35.9,30.7,55.2,38.4,40.1,33.7,68,8,0.857,0.841,0.794,0.873,0.873,1,0.112,0.015,0.936,0.365,0.634,0.524,0.825,1,0.952,0.461,0.269,0.936,64
15,Ohio St.,B10,2018,R32,5,34,25,0.735294118,116,94.3,0.9154,54.1,48.7,17.1,17.9,30.2,25.2,31.1,29.5,54.7,46.1,35.3,35.1,68.2,4.5,0.507,0.714,0.794,0.777,0.682,0.524,0.508,0.349,0.523,0.222,0.253,0.683,0.761,0.683,0.301,0.27,0.285,0.777,64
16,Butler,BE,2018,R32,10,35,21,0.6,116.1,95.3,0.9068,54,51.9,15.7,19.5,27.6,24.6,26.1,35.3,54.3,49.5,35.7,37.3,69.1,1.7,0.079,0.73,0.683,0.73,0.666,0.048,0.826,0.666,0.301,0.142,0.047,0.254,0.714,0.223,0.349,0.048,0.38,0.507,64
17,Seton Hall,BE,2018,R32,8,34,22,0.647058824,117.8,98.2,0.8902,52.9,50.3,17.8,17.7,34.3,28.4,35.2,29.8,52,50,36.5,33.8,70.7,2.5,0.238,0.825,0.381,0.682,0.444,0.207,0.27,0.301,0.873,0.587,0.555,0.635,0.444,0.159,0.507,0.445,0.682,0.619,64
18,Xavier,BE,2018,R32,1,35,29,0.828571429,120.9,97.7,0.9211,55.9,49.9,17.2,15.7,30.2,23.1,41,25.6,55.9,49.8,37.2,33.4,71.7,8.8,0.825,0.904,0.397,0.825,0.809,0.35,0.493,0.047,0.523,0.047,0.92,0.921,0.873,0.191,0.603,0.508,0.809,0.968,64
19,Marshall,CUSA,2018,R32,13,35,25,0.714285714,108.8,102.5,0.6633,54.7,49.9,17.2,18.4,22.4,32.3,33.1,28.9,55.5,48.7,35.9,35,75.9,-2.5,0.428,0.253,0.127,0.126,0.73,0.35,0.493,0.476,0.015,0.968,0.396,0.731,0.841,0.366,0.396,0.334,0.968,0.174,64
20,Buffalo,MAC,2018,R32,13,35,27,0.771428571,114.5,102.7,0.7761,54.8,48.8,16.5,18.1,31.9,29.1,29.9,39.5,54.3,48.4,37.1,33.1,73.8,-1.3,0.666,0.587,0.08,0.269,0.746,0.493,0.731,0.412,0.603,0.666,0.158,0.096,0.714,0.397,0.587,0.635,0.936,0.253,64
21,Alabama,SEC,2018,R32,9,36,20,0.555555556,107.9,95.3,0.8074,51.9,47.8,20.3,18.7,29.4,30.9,41.9,36.5,53.5,46.9,32.6,32.8,69.9,-1.1,0.015,0.206,0.683,0.349,0.333,0.667,0.048,0.507,0.46,0.857,0.936,0.239,0.65,0.604,0.031,0.683,0.507,0.269,64
22,Auburn,SEC,2018,R32,4,34,26,0.764705882,114,96.9,0.8672,50.8,49.7,16.4,20.7,32.1,28,39.8,38.1,48.7,47.7,35.7,35.1,73.8,4.3,0.603,0.539,0.508,0.634,0.111,0.381,0.747,0.825,0.65,0.476,0.841,0.175,0.126,0.493,0.349,0.27,0.936,0.746,64
23,Florida,SEC,2018,R32,6,34,21,0.617647059,115.2,93.9,0.9132,50.8,48.7,14.3,20,28.7,30.5,32.6,32.4,47.6,46.6,37,35.2,68.5,1.4,0.111,0.65,0.842,0.761,0.111,0.524,0.937,0.73,0.365,0.825,0.349,0.366,0.047,0.635,0.571,0.239,0.349,0.444,64
24,Tennessee,SEC,2018,R32,3,35,26,0.742857143,114.2,92,0.9225,50.8,46.7,17.9,20.4,33.4,31.1,35.5,37.6,47.3,46.1,38,31.8,67.1,6.4,0.523,0.555,0.937,0.841,0.111,0.874,0.207,0.761,0.746,0.888,0.603,0.207,0.031,0.683,0.698,0.858,0.19,0.857,64
25,Davidson,A10,2018,R64,12,33,21,0.636363636,117,102.3,0.823,57.4,51.2,14.5,16.2,22.6,23.4,24.6,29.6,56.5,50.3,38.9,35,65.5,-2.9,0.174,0.777,0.143,0.38,0.904,0.112,0.921,0.095,0.047,0.095,0.015,0.667,0.904,0.112,0.841,0.334,0.047,0.158,64
26,St. Bonaventure,A10,2018,R64,11,34,26,0.764705882,109.6,99.7,0.7485,51.6,49,16.3,20.4,29.3,29.1,40.5,38.4,48.5,49.7,38.6,32,70.4,1.4,0.603,0.317,0.318,0.253,0.238,0.477,0.762,0.761,0.444,0.666,0.857,0.159,0.095,0.207,0.777,0.81,0.65,0.444,64
27,Miami FL,ACC,2018,R64,6,32,22,0.6875,113.3,96.6,0.8623,53.1,49,16.8,18.8,29.1,28.2,29.1,28.1,52.2,48.8,36.4,32.8,68.2,2.7,0.349,0.523,0.524,0.571,0.492,0.477,0.62,0.523,0.428,0.523,0.111,0.762,0.555,0.334,0.492,0.683,0.285,0.666,64
28,North Carolina St.,ACC,2018,R64,9,33,21,0.636363636,115.6,101.3,0.821,53.4,51.6,16.8,20.4,33.4,32,34.2,33.7,52.1,53.6,37.2,31.6,72.8,0.9,0.174,0.682,0.223,0.365,0.555,0.08,0.62,0.761,0.746,0.952,0.492,0.302,0.523,0,0.603,0.905,0.904,0.365,64
29,Virginia,ACC,2018,R64,1,34,31,0.911764706,114.6,86.7,0.9612,52.7,44.3,14,20.9,27,25.6,24.5,26.2,50.1,42.8,38.3,31,60.5,11.3,1,0.603,1,0.984,0.412,0.969,0.985,0.857,0.238,0.269,0,0.858,0.174,0.969,0.746,0.937,0,1,64
30,Virginia Tech,ACC,2018,R64,8,33,21,0.636363636,115.2,98.6,0.8579,57.7,50.4,17,18.6,23.9,29.4,36.5,29.4,57.3,49.2,38.8,34.7,70.2,1.3,0.174,0.65,0.35,0.539,0.952,0.175,0.588,0.492,0.079,0.73,0.682,0.699,0.952,0.254,0.825,0.366,0.619,0.412,64
31,Wichita St.,Amer,2018,R64,4,33,25,0.757575758,120.9,102.7,0.8671,55.1,49.4,16.5,16.3,35.4,22.6,34.8,33.2,53.8,46,38.1,36.3,70.1,3.4,0.555,0.904,0.08,0.619,0.793,0.413,0.731,0.126,0.904,0.015,0.523,0.318,0.682,0.699,0.714,0.096,0.587,0.698,64
32,Lipscomb,ASun,2018,R64,15,30,23,0.766666667,103.2,101.8,0.5375,51.5,52,20,19.9,27.4,24.3,40.6,38.4,53.2,52.8,32.7,33.8,75.9,-3.2,0.65,0.063,0.175,0.079,0.222,0.032,0.064,0.714,0.285,0.126,0.904,0.159,0.587,0.016,0.047,0.445,0.968,0.126,64
33,Oklahoma,B12,2018,R64,10,32,18,0.5625,114.6,99.5,0.835,53.5,51,17.3,16.8,28.4,30,33.2,25.6,53.3,49.1,35.9,36.2,76.7,1.1,0.047,0.603,0.334,0.412,0.571,0.127,0.413,0.174,0.333,0.761,0.412,0.921,0.603,0.27,0.396,0.112,1,0.396,64
34,TCU,B12,2018,R64,6,33,21,0.636363636,119.5,100.5,0.8804,56.5,52.3,17.8,17.4,34.2,26.1,34.1,30.5,55.1,50.1,39.4,37.6,70,2.2,0.174,0.873,0.254,0.65,0.857,0.016,0.27,0.253,0.857,0.317,0.476,0.556,0.809,0.127,0.904,0.032,0.539,0.587,64
35,Texas,B12,2018,R64,10,34,19,0.558823529,109.3,93.7,0.8547,50,48.3,17,18,29.4,29.1,33,26.2,51.2,47.5,32,33.2,66.6,1.4,0.031,0.301,0.874,0.523,0.063,0.62,0.588,0.365,0.46,0.666,0.38,0.858,0.333,0.524,0.015,0.604,0.158,0.444,64
36,Creighton,BE,2018,R64,8,32,21,0.65625,116.2,97.4,0.8836,57.4,50.1,15.6,15.8,22.5,24.6,26.5,24.8,58.7,50,37.2,33.6,72.3,2,0.253,0.746,0.429,0.666,0.904,0.254,0.842,0.063,0.031,0.142,0.063,0.953,0.984,0.159,0.603,0.493,0.841,0.555,64
37,Providence,BE,2018,R64,10,35,21,0.6,108.4,95.9,0.8027,49.6,50.3,17.4,19,28.9,29,38.6,31.8,49.5,51.5,33.2,32.2,68.3,1.9,0.079,0.238,0.588,0.333,0.047,0.207,0.397,0.555,0.412,0.65,0.809,0.429,0.158,0.048,0.079,0.762,0.317,0.523,64
38,Montana,BSky,2018,R64,14,32,26,0.8125,106.7,98.4,0.7184,51.2,48.4,17.4,21.2,33.5,26.1,38.3,41.4,51.4,46.3,33.7,35.2,69.1,-1.1,0.777,0.158,0.366,0.206,0.174,0.588,0.397,0.888,0.777,0.317,0.777,0.048,0.38,0.651,0.111,0.239,0.38,0.269,64
39,Radford,BSth,2018,R64,16,34,23,0.676470588,101.3,102.8,0.4559,49.3,50.1,18.7,20.2,32,28,31.2,31.7,47.1,48.9,35,34.6,64.2,-6.5,0.333,0.015,0.048,0.015,0.031,0.254,0.159,0.746,0.619,0.476,0.269,0.445,0.015,0.318,0.222,0.397,0.031,0.031,64
40,Cal St. Fullerton,BW,2018,R64,15,30,20,0.666666667,101.6,102.5,0.476,51.6,48.2,20.7,18.2,26,28.9,45.6,35.2,52,45,33.8,36.4,70.7,-5.5,0.301,0.031,0.127,0.031,0.238,0.635,0.032,0.428,0.206,0.634,1,0.27,0.444,0.889,0.126,0.08,0.682,0.047,64
41,College of Charleston,CAA,2018,R64,13,32,26,0.8125,106.8,104.3,0.5685,52.7,49.9,15.1,17.8,25.5,27.9,36.6,32.1,52,48.7,35.9,34.6,66,-2.1,0.777,0.174,0.032,0.111,0.412,0.35,0.889,0.333,0.126,0.444,0.698,0.397,0.444,0.366,0.396,0.397,0.079,0.19,64
42,Wright St.,Horz,2018,R64,14,33,25,0.757575758,99.4,97.2,0.5638,48.6,48.3,18.6,21,28.7,25.3,35.3,29.9,47.7,45.8,33.5,34.7,69.3,-3.5,0.555,0,0.461,0.095,0.015,0.62,0.191,0.873,0.365,0.238,0.571,0.62,0.063,0.715,0.095,0.366,0.412,0.095,64
43,Penn,Ivy,2018,R64,16,32,24,0.75,103.6,97.6,0.6644,52.9,47,16.6,17,23.8,22.6,33.4,31.8,53.3,48,34.8,30,70.1,-3.3,0.539,0.095,0.413,0.142,0.444,0.81,0.683,0.206,0.063,0.015,0.428,0.429,0.603,0.445,0.19,1,0.587,0.111,64
44,Iona,MAAC,2018,R64,15,34,20,0.588235294,108.8,107.6,0.5333,53.9,52.5,16,18.8,24.5,30.8,30.2,28.6,51.5,51.7,38.3,35.8,71.5,-7.3,0.063,0.253,0.016,0.063,0.603,0,0.794,0.523,0.095,0.841,0.19,0.747,0.396,0.032,0.746,0.143,0.777,0.015,64
45,San Diego St.,MWC,2018,R64,11,32,22,0.6875,110.2,94.9,0.8486,51.7,48.6,17,19,31.6,25,35.1,29.6,52,47.8,34.1,33.2,70,-1.5,0.349,0.365,0.747,0.492,0.285,0.54,0.588,0.555,0.587,0.19,0.539,0.667,0.444,0.461,0.158,0.604,0.539,0.238,64
46,Murray St.,OVC,2018,R64,12,30,26,0.866666667,110.6,100.8,0.7449,55,47.2,17.6,18,32.9,27.6,37.3,30.5,54.4,47.6,37.2,30.9,67.8,-0.4,0.92,0.396,0.239,0.238,0.777,0.747,0.286,0.365,0.682,0.428,0.746,0.556,0.746,0.508,0.603,0.969,0.253,0.301,64
47,Arizona,P12,2018,R64,4,35,27,0.771428571,117,100.4,0.8528,56.3,49.9,17.5,16.7,33.2,25.1,36.9,31.2,56.7,47.7,36.9,35.8,68.3,3.8,0.666,0.777,0.302,0.507,0.841,0.35,0.334,0.158,0.73,0.206,0.714,0.493,0.936,0.493,0.555,0.143,0.317,0.714,64
48,Bucknell,Pat,2018,R64,14,35,25,0.714285714,108,101.3,0.676,53.9,47.8,17,17,27,27.5,42.6,34.5,55,47,34.8,33.1,72.9,-3,0.428,0.222,0.223,0.158,0.603,0.667,0.588,0.206,0.238,0.412,0.952,0.286,0.793,0.588,0.19,0.635,0.92,0.142,64
49,Georgia St.,SB,2018,R64,15,33,24,0.727272727,108.8,101.5,0.6894,53.9,47.1,16.7,20.6,25.6,33.4,30.9,38.6,50.9,44,38.7,33.8,67.7,-5.1,0.476,0.253,0.191,0.19,0.603,0.778,0.651,0.809,0.158,1,0.238,0.127,0.269,0.921,0.793,0.445,0.238,0.063,64
