TEAM,CONF,YEAR,POSTSEASON,SEED,G,W,WIN_PCT,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,TWOP_O,TWOP_D,THREEP_O,THREEP_D,ADJ_T,WAB,WIN_PCT_RANK,ADJOE_RANK,ADJDE_RANK,BARTHAG_RANK,EFG_O_RANK,EFG_D_RANK,TOR_RANK,TORD_RANK,ORB_RANK,DRB_RANK,FTR_RANK,FTRD_RANK,TWOP_O_RANK,TWOP_D_RANK,THREEP_O_RANK,THREEP_D_RANK,ADJ_T_RANK,WAB_RANK
South Florida,Amer,2015,NA,NA,31,8,0.258064516,97.2,105.4,0.2812,47.3,49.1,20.9,18.8,31.3,34.8,31.6,42.5,47.7,45.4,30.9,37.4,64.4,-14.5,0.108,0.225,0.346,0.228,0.294,0.526,0.172,0.457,0.537,0.922,0.131,0.192,0.514,0.763,0.128,0.146,0.431,0.168
Temple,Amer,2015,NA,NA,37,26,0.702702703,104.3,92.3,0.8029,44.2,44.5,14.6,18.8,31.8,29.2,35.6,33.5,43.4,43.3,30.4,31.4,65.9,-0.4,0.885,0.634,0.946,0.837,0.057,0.955,0.992,0.457,0.597,0.237,0.394,0.712,0.085,0.923,0.102,0.889,0.648,0.848
Tulane,Amer,2015,NA,NA,30,14,0.466666667,97.6,101.8,0.3809,46.4,49.9,19.9,20.3,32.6,29.3,34.7,36.1,45.5,49.6,32,33.7,63.7,-8.9,0.44,0.237,0.552,0.382,0.197,0.418,0.358,0.72,0.677,0.26,0.314,0.546,0.22,0.32,0.222,0.6,0.297,0.465
Tulsa,Amer,2015,NA,NA,33,23,0.696969697,100.6,92.9,0.716,47.1,45.5,17.7,19.7,30.8,28.5,41.4,30.9,46.5,42.8,32.3,33.3,64.3,-0.4,0.871,0.405,0.923,0.76,0.271,0.9,0.766,0.617,0.5,0.174,0.814,0.872,0.34,0.949,0.28,0.672,0.425,0.848
UCF,Amer,2015,NA,NA,29,11,0.379310345,101,109.4,0.2852,49.1,51.3,19.7,15.8,30.7,36.8,35.1,27.2,47.6,50.3,34.5,35.6,64.6,-11.2,0.26,0.44,0.135,0.242,0.511,0.249,0.392,0.048,0.488,0.98,0.348,0.969,0.5,0.246,0.534,0.329,0.451,0.34
Florida Gulf Coast,ASun,2015,NA,NA,30,19,0.633333333,99.4,102,0.4261,48.2,45.3,17.7,17.3,34.4,32.1,33.1,34.6,47,45.8,33.9,29.6,64.8,-5.1,0.771,0.351,0.543,0.448,0.405,0.915,0.766,0.214,0.808,0.64,0.222,0.632,0.414,0.726,0.465,0.989,0.488,0.657
Jacksonville,ASun,2015,NA,NA,29,7,0.24137931,95.6,114.9,0.1067,46.6,54.5,18.6,19.1,27.7,33.8,39.3,38.8,43.1,54.1,35.8,36.8,64,-17.6,0.08,0.162,0.029,0.065,0.214,0.029,0.623,0.531,0.2,0.831,0.677,0.383,0.065,0.023,0.714,0.189,0.351,0.062
Kennesaw St.,ASun,2015,NA,NA,30,8,0.266666667,91.3,113.1,0.0782,45.3,50.7,21.3,16.2,29.6,35.1,29.8,35.7,44.1,51.1,31.5,33.4,66.1,-16.8,0.122,0.057,0.043,0.02,0.108,0.326,0.135,0.074,0.351,0.931,0.042,0.566,0.105,0.183,0.18,0.652,0.674,0.085
Lipscomb,ASun,2015,NA,NA,28,11,0.392857143,98,110.6,0.1987,48.1,54.1,18.7,17.8,29.2,29.4,39.7,47,47.5,51.8,32.6,38.3,68.2,-12,0.291,0.254,0.089,0.14,0.391,0.038,0.603,0.268,0.311,0.271,0.702,0.066,0.482,0.118,0.305,0.066,0.914,0.288
Northern Kentucky,ASun,2015,NA,NA,28,11,0.392857143,102.4,108.7,0.3348,51.2,50.6,17.8,16.6,28.5,30,30,45.3,51.9,49.2,33.4,35.5,64.1,-12.1,0.291,0.517,0.163,0.322,0.768,0.335,0.752,0.12,0.237,0.34,0.054,0.095,0.897,0.352,0.405,0.349,0.377,0.285
Stetson,ASun,2015,NA,NA,28,6,0.214285714,93.9,114.3,0.0942,48.1,51.6,18.3,16.4,26.1,35.1,34.1,31.5,48.3,49.1,31.8,37.1,66.3,-17.8,0.045,0.114,0.035,0.042,0.391,0.209,0.68,0.094,0.105,0.931,0.277,0.838,0.585,0.375,0.205,0.16,0.708,0.057
USC Upstate,ASun,2015,NA,NA,32,20,0.625,102,103.1,0.4677,49.5,47.1,16.9,20.3,35.2,33.5,30.4,30.3,49.2,46.6,33.2,31.9,63.6,-6.8,0.751,0.491,0.475,0.5,0.588,0.749,0.875,0.72,0.877,0.808,0.068,0.898,0.702,0.643,0.38,0.835,0.277,0.56
Illinois,B10,2015,NA,NA,33,19,0.575757576,107.1,94.4,0.8103,47.6,48,15.2,19.7,30.2,28,31.2,30.4,44.4,47.3,35.5,32.9,65.6,-0.6,0.657,0.768,0.875,0.851,0.328,0.66,0.98,0.617,0.442,0.12,0.102,0.892,0.137,0.569,0.68,0.738,0.614,0.842
Michigan,B10,2015,NA,NA,31,15,0.483870968,110.9,97.1,0.8226,49.4,50.9,15.6,19.4,25.5,31.2,26.6,26.7,47,50.8,35.3,34,60.2,-2.4,0.48,0.88,0.783,0.862,0.562,0.298,0.978,0.58,0.074,0.488,0.002,0.978,0.414,0.212,0.654,0.543,0.028,0.788
Minnesota,B10,2015,NA,NA,32,17,0.53125,111.2,97.6,0.8176,52.1,50.8,17.7,24.2,30,33.4,32.9,34.5,50.1,48.3,37.2,36.8,68.1,-2.4,0.565,0.891,0.758,0.854,0.831,0.318,0.766,0.982,0.402,0.8,0.208,0.635,0.774,0.469,0.831,0.189,0.911,0.788
Nebraska,B10,2015,NA,NA,31,13,0.419354839,98.5,93.2,0.6543,46.2,46.8,19.4,20.6,26.7,30.3,36.5,38.5,48,44.7,28.4,33.4,63.7,-5.3,0.365,0.294,0.906,0.688,0.174,0.789,0.455,0.768,0.128,0.36,0.482,0.398,0.554,0.829,0.022,0.652,0.297,0.651
Northwestern,B10,2015,NA,NA,32,15,0.46875,105.7,100.8,0.6322,50.4,48.4,18.1,15.5,27.6,30.9,28.6,32.8,48.3,43.8,35.9,37.7,60.6,-4.2,0.448,0.714,0.598,0.674,0.714,0.598,0.715,0.034,0.18,0.451,0.025,0.772,0.585,0.9,0.731,0.106,0.04,0.711
Penn St.,B10,2015,NA,NA,34,18,0.529411765,103.9,93.9,0.7617,48,45.3,18.2,17.8,29.7,31,34.7,41.5,46.8,43.6,33.4,32.6,65.9,-3.6,0.56,0.582,0.889,0.791,0.382,0.915,0.695,0.268,0.374,0.468,0.314,0.255,0.391,0.915,0.405,0.775,0.648,0.734
Rutgers,B10,2015,NA,NA,32,10,0.3125,96.4,98,0.4539,43.6,49.8,20.1,18.1,30.5,31.4,32.6,32,43.3,49.3,29.5,33.7,65.4,-8.7,0.182,0.194,0.743,0.48,0.037,0.423,0.32,0.331,0.465,0.52,0.185,0.803,0.08,0.343,0.048,0.6,0.585,0.482
Kansas St.,B12,2015,NA,NA,32,15,0.46875,104.6,96.2,0.7242,47.8,49.7,20.9,20.2,34,31.4,46,41,46.9,49.5,33.5,33.5,62.7,-2.6,0.448,0.66,0.815,0.768,0.351,0.438,0.172,0.702,0.771,0.52,0.948,0.286,0.402,0.326,0.42,0.635,0.177,0.774
TCU,B12,2015,NA,NA,33,18,0.545454545,107.6,94.2,0.821,47.9,44.1,18.4,20,37.5,33.4,46.5,48,47.5,42.2,32.7,33.5,64.1,-2.6,0.588,0.788,0.878,0.857,0.365,0.972,0.658,0.668,0.96,0.8,0.965,0.058,0.482,0.978,0.32,0.635,0.377,0.774
