TEAM,CONF,YEAR,POSTSEASON,SEED,G,W,WIN_PCT,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,TWOP_O,TWOP_D,THREEP_O,THREEP_D,ADJ_T,WAB,WIN_PCT_RANK,ADJOE_RANK,ADJDE_RANK,BARTHAG_RANK,EFG_O_RANK,EFG_D_RANK,TOR_RANK,TORD_RANK,ORB_RANK,DRB_RANK,FTR_RANK,FTRD_RANK,TWOP_O_RANK,TWOP_D_RANK,THREEP_O_RANK,THREEP_D_RANK,ADJ_T_RANK,WAB_RANK
UC Irvine,BW,2015,R64,13,32,19,0.59375,105.1,96.8,0.7202,50.7,44.7,18.2,17.2,30,30.7,30.2,35.3,47.8,42.4,38.2,33.6,63.9,-4.6,0.095,0.206,0.366,0.238,0.523,0.81,0.429,0.206,0.222,0.555,0.031,0.302,0.269,0.842,0.761,0.413,0.333,0.095
Northeastern,CAA,2015,R64,14,35,23,0.657142857,107,101,0.6586,54.5,49.8,21.5,15.5,30.1,25.3,41.4,25,53,49.1,38.6,34.4,63.6,-4.6,0.317,0.238,0.159,0.19,0.809,0.096,0.016,0.031,0.253,0.063,0.746,0.937,0.761,0.096,0.841,0.302,0.269,0.095
Valparaiso,Horz,2015,R64,13,31,25,0.806451613,105,94.5,0.7706,51.3,45.2,19,18.6,34.7,27.4,36.6,33.4,48,42.3,38.4,33.4,63.1,0.1,0.825,0.19,0.524,0.253,0.571,0.762,0.27,0.412,0.666,0.174,0.38,0.477,0.301,0.889,0.809,0.445,0.222,0.333
Harvard,Ivy,2015,R64,13,28,20,0.714285714,102.4,94.9,0.7057,47.1,46.6,18.4,20.1,32.4,28.4,38.9,32.9,45.5,44.5,34.3,34,61.6,-1.3,0.555,0.095,0.461,0.222,0.047,0.477,0.381,0.682,0.412,0.253,0.587,0.556,0,0.556,0.269,0.35,0.158,0.238
Buffalo,MAC,2015,R64,12,33,23,0.696969697,109.1,98,0.7742,48.7,48.5,16.7,19.7,34.5,30.4,42.6,34.3,47.6,48,34.1,33,68.9,-1.3,0.492,0.349,0.318,0.269,0.174,0.223,0.715,0.587,0.619,0.492,0.809,0.413,0.253,0.191,0.238,0.54,0.92,0.238
Hampton,MEAC,2015,R64,16,35,17,0.485714286,94.8,102.3,0.2939,45.6,46.4,20.2,20.1,31.8,30.9,43.8,45.5,45.6,44.5,30.4,33.9,69.6,-12.6,0,0,0.112,0,0,0.572,0.096,0.682,0.349,0.603,0.857,0.032,0.047,0.556,0,0.366,0.936,0
Wyoming,MWC,2015,R64,12,33,23,0.696969697,102.1,98.2,0.6121,52.2,47,18.8,17.9,22,27,40.4,27,54.4,44,32.6,34.9,59.2,-1.6,0.492,0.063,0.27,0.158,0.666,0.445,0.318,0.317,0,0.126,0.682,0.889,0.904,0.62,0.111,0.191,0.031,0.222
Robert Morris,NEC,2015,R64,16,35,20,0.571428571,100.7,103.3,0.4286,50.1,49.3,19.8,21.8,31,35.9,35.5,37.6,47.4,48.3,37.5,34.1,66,-8.6,0.047,0.015,0.064,0.047,0.412,0.175,0.175,0.92,0.285,1,0.222,0.207,0.222,0.175,0.698,0.334,0.65,0.015
Belmont,OVC,2015,R64,15,32,21,0.65625,108.7,106.8,0.5497,56.5,51.3,20.3,18.5,28.9,29.6,32.2,28.2,56.4,51.2,37.7,34.3,67.6,-4.7,0.285,0.333,0.048,0.095,0.952,0.048,0.064,0.38,0.142,0.38,0.063,0.81,0.968,0.048,0.73,0.318,0.873,0.079
Lafayette,Pat,2015,R64,16,32,19,0.59375,109.8,114.5,0.3839,55.8,53.5,17.1,16.8,27.7,34.5,30.4,27.5,52.8,51.5,40.8,38,65.1,-7.1,0.095,0.396,0,0.031,0.92,0,0.635,0.142,0.095,0.92,0.047,0.858,0.746,0.016,1,0.016,0.555,0.047
Wofford,SC,2015,R64,12,33,26,0.787878788,102.3,96.8,0.6547,51.1,47,17.2,20,29.4,27.7,37.6,36.4,49.1,47.3,36.8,30.9,61.2,0.2,0.777,0.079,0.366,0.174,0.539,0.445,0.604,0.666,0.19,0.206,0.476,0.254,0.46,0.239,0.619,0.842,0.079,0.349
Georgia,SEC,2015,R64,10,33,21,0.636363636,107.6,92.6,0.8482,48.5,44.4,19.2,16.7,32.2,28.5,47.7,34.3,47.2,43.2,34.2,31.2,64.8,1.6,0.238,0.269,0.747,0.476,0.158,0.858,0.254,0.111,0.396,0.301,0.984,0.413,0.174,0.747,0.253,0.81,0.523,0.507
LSU,SEC,2015,R64,9,33,22,0.666666667,107.8,92.8,0.8477,50.3,44.6,20.2,19.1,33.9,32.9,33.5,29.4,50.1,43.9,33.9,30.9,70.1,0.5,0.333,0.285,0.699,0.46,0.444,0.842,0.096,0.507,0.523,0.888,0.126,0.747,0.555,0.635,0.222,0.842,1,0.38
Mississippi,SEC,2015,R64,11,34,21,0.617647059,112.2,99.2,0.8037,47.8,47.6,16.5,18.7,34.8,31.4,36.1,41.2,46.8,43.6,33.2,35.8,66.6,-0.5,0.158,0.619,0.207,0.317,0.095,0.381,0.747,0.444,0.714,0.714,0.301,0.08,0.142,0.699,0.158,0.112,0.714,0.285
Stephen F. Austin,Slnd,2015,R64,12,31,26,0.838709677,111,98.8,0.7919,55.6,49,20.3,24.5,37.6,29.6,41.9,49.1,55.4,48.3,37.3,33.7,66.4,1.2,0.841,0.523,0.239,0.301,0.904,0.191,0.064,0.984,0.904,0.38,0.793,0.016,0.936,0.175,0.682,0.397,0.682,0.46
North Dakota St.,Sum,2015,R64,15,31,21,0.677419355,100.8,100.7,0.5035,49.7,48.1,16,16.5,26.1,23.7,35.7,30.7,45.5,45,38.2,36.2,61.5,-3.9,0.412,0.031,0.175,0.063,0.333,0.27,0.858,0.079,0.031,0.015,0.238,0.667,0,0.493,0.761,0.096,0.142,0.158
