TEAM,CONF,REGION,SEED,SEED_OPP,G,W,WIN_PCT,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,TWOP_O,TWOP_D,THREEP_O,THREEP_D,ADJ_T,WAB,WIN_PCT_RANK,ADJOE_RANK,ADJDE_RANK,BARTHAG_RANK,EFG_O_RANK,EFG_D_RANK,TOR_RANK,TORD_RANK,ORB_RANK,DRB_RANK,FTR_RANK,FTRD_RANK,TWOP_O_RANK,TWOP_D_RANK,THREEP_O_RANK,THREEP_D_RANK,ADJ_T_RANK,WAB_RANK
Utah St.,MWC,South,11,6,32,26,0.8125,109.4,94.5,0.8435,51.8,46.4,18.2,17.5,30.7,22.4,36.3,26.8,53.3,44.9,32.9,32.3,67.5,1.2,0.791,0.492,0.568,0.492,0.522,0.657,0.403,0.238,0.522,0.059,0.746,0.747,0.791,0.747,0.283,0.448,0.462,0.462
Xavier,BE,Midwest,11,6,32,19,0.59375,106.4,92.1,0.8396,49,46.4,19.8,18.6,32.2,27.6,30.9,28.9,50.2,46.7,31.2,30.5,68.1,0.3,0.014,0.238,0.806,0.462,0.164,0.657,0.165,0.447,0.716,0.626,0.328,0.627,0.373,0.463,0.134,0.836,0.552,0.373
NC State,ACC,Midwest,11,6,32,20,0.625,110.6,96.5,0.8273,50.8,47.8,16.9,20.1,28.8,30.9,28.5,35.4,52.6,48,31.8,31.6,69.5,-0.5,0.119,0.537,0.403,0.402,0.373,0.374,0.747,0.746,0.343,0.955,0.164,0.135,0.641,0.269,0.149,0.627,0.776,0.283
Richmond,A10,West,11,6,31,24,0.774193548,108.5,94.9,0.8249,53.5,47.7,15.6,19.9,22.6,26.3,27.8,30.2,53,49.1,36.2,30.5,69,1.2,0.597,0.417,0.508,0.373,0.805,0.389,0.896,0.716,0.029,0.477,0.119,0.523,0.731,0.18,0.761,0.836,0.641,0.462
UCLA,P12,West,11,6,30,19,0.633333333,109.6,98.6,0.7717,48.4,50.9,19.5,19.4,34.5,25.4,37.6,35.2,48.4,46.9,32.2,38.3,64.9,-1,0.149,0.507,0.299,0.313,0.104,0,0.195,0.582,0.85,0.268,0.835,0.165,0.149,0.433,0.194,0,0.119,0.253
East Tennessee St.,SC,East,11,6,31,30,0.967741935,107.1,97.4,0.7505,53.5,49.8,18.2,22.4,31.8,26.2,36.9,33.1,55.2,51.1,33.9,31.7,66,2.5,0.97,0.283,0.359,0.283,0.805,0.09,0.403,0.895,0.626,0.462,0.82,0.299,0.94,0.045,0.358,0.612,0.208,0.582
Cincinnati,Amer,West,12,5,30,20,0.666666667,108.6,94.8,0.826,50.3,45.7,20.2,19.7,32,28.6,39.6,29.2,51.7,43.1,31.9,33.7,68.1,0.2,0.268,0.432,0.523,0.388,0.283,0.777,0.135,0.671,0.656,0.776,0.91,0.583,0.522,0.941,0.179,0.135,0.552,0.343
Yale,Ivy,Midwest,12,5,28,23,0.821428571,107.8,97.8,0.7551,53.8,46.5,18.5,16.6,25.8,21.3,31.2,25.7,52.7,46.9,36.9,30.6,67.3,-0.3,0.835,0.358,0.314,0.298,0.85,0.583,0.359,0.074,0.164,0.014,0.358,0.836,0.656,0.433,0.791,0.792,0.417,0.313
Liberty,ASun,South,12,5,32,30,0.9375,105.6,96,0.7495,54.4,45.6,15.2,19.4,23.9,21.3,32,28.6,55.7,45.9,35,30,61.3,-0.3,0.94,0.179,0.463,0.268,0.895,0.792,0.971,0.582,0.059,0.014,0.417,0.642,0.955,0.583,0.537,0.896,0.014,0.313
Stephen F. Austin,Slnd,East,12,5,28,28,1,103.4,96.9,0.6781,53.3,49.6,23.6,27.8,37.3,26.8,44,44.6,52.3,48.4,37.4,34.4,71.9,1.4,1,0.089,0.389,0.194,0.791,0.135,0,1,0.97,0.552,0.985,0.015,0.582,0.239,0.85,0.075,0.955,0.507
